,id,guest_id,rating,review,is_anonymous,reservation_id,scores_accuracy,scores_check_in,scores_cleanliness,scores_communication,scores_location,scores_value
0,1,26,8,"Colleen was friendly and very helpful regarding directions, maps and suggestions for places to go.
Her flat is centrally located and it's easy to walk about the city from there or catch a bus/taxi right outside of her door. The train is only minutes away too.
The 'guest' has his/her own bedroom with a single bed and shares the bathroom. 
If I'm ever back in Sydney, I would certainly consider staying at Colleen's again. It was an enjoyable experience.
",FALSE,8,8,8,8,8,8,8
1,2,27,10,"Great place, centrally located, easy walk to train station, bus station across the street.  Walking distance to great bars, clubs, and restaurants.  Very good price.
",FALSE,10,10,10,10,10,10,10
2,3,28,10,Colleen is very friendly and helpful. The apartment is nice and located conveniently. ,FALSE,10,10,10,10,10,10,10
3,4,29,10,"Dear Colleen!
My friend Diemut from Germany enjoyed it a lot to stay with you. She was pleased about your openness, friendliness and your support according to discover Sydney. --- So if somebody wants to experience Sydney go to Colleen!!! I wish you a lot of guests who are as 'wunderbar' (wonderful) as you are. 

Sincerely

Sigrid
 ",FALSE,10,10,10,10,10,10,10
4,5,30,8,"Lovely, interesting chats and very helpful giving directions to find your way in Sydney. Confortable room and very well located, if I come to Sydney again, certanly will consider go back with Colleen.",FALSE,8,8,8,8,8,8,8
5,6,31,9,"I liked to stay with Colleen.Quite interesting person, very open, giving lots of useful information. Nice location of the flat. Would stay again with her and meet again my great friend Challie (her cat)if (when?) returning to Sydney",FALSE,9,9,9,9,9,9,9
6,7,32,9,"What a fantastic place to stay . Wish I could have stayed longer,will certainly reccomend to anyone and will return myself. Colleen is a very interesting person with lots of travel . Was made very welcone from the first moment.
Many thanks Colleen
hope we can keep in contact.
norman",FALSE,9,9,9,9,9,9,9
7,8,33,9,"This was such a wonderful experience.  Colleen was so helpful with written info on where to go what to see & how to get there and back.  We even did a couple of trips together.  The apartment was in a great location, with anything you need close by.  Bus stop right out the front door, train station, grocery, & eateries all along the street.",FALSE,9,9,9,9,9,9,9
8,9,34,9,"Colleen is one of those formidable women, full of energy and stories to tell. Her place is superbly located down the road from King's Cross train station in Sydney. The location gives you easy access to Sydney's main attractions. The bed is comfy and her cat adorable. 

She will try to convince you to take buses to go to most places, but I found out that most things are doable on foot and it is a pleasure to walk in Sydney.",FALSE,9,9,9,9,9,9,9
9,10,35,9,"This was my first Airbnb experience and I am hooked! these guys are glorious . The most gracious hosts with generous hearts. Of course they do have many years experience running a BnB in Mudgie so they know the drill but that aside , they were welcoming, friendly, and forthcoming. I don't know Sydney and they do - which was they main reason I wanted to stay with an airbnb host. This is a great way to beat the lonely hotel blues, a great way to get that 'in' on local knowledge. A lovely room to stay in, fresh and clean - a wonderful breakfast early saturday morning before my flight home ( for which I appreciate and am eternally thankful) the fluffiest happiest best behaved dog Kenji i have ever met,  I thoroughly recommend these host and their home to all. . I think we are actually friends now! see you soon",FALSE,9,9,9,9,9,9,9
10,11,36,9,"As my first AirBnB experience, this was a magnificent introduction. Vinh and Stuart were superb hosts...and Kenji their Pomeranian, was equally enthusiastic but very well-behaved and unobtrusive. Their three-story terrace house was unpretentiously stylish but with a retreat-like, relaxed ambience, warm and light. The location was fantastically close to the essence of Sydney...Darling Harbour, Bay-side parks, the City, Circular Quay; all within an enjoyable walking distance.

In line with the AirBnB concept I felt the way in which we could share time was rich, informative and very flexible. I could come and go as I needed, enjoyed engaged conversation on occasions or the gift of attending to my own thoughts or activities comfortably as desired....A beautiful balance and repose. They also gave me access to their wifi which was great to maintain my internet commitments.

Even though they were often out enjoying to their own social activities Stuart and Vinh ensured that my son (who was occasionally visiting me) and I, felt entirely at home and even cooked us both a delicious breakfast with organic-market bought ingredients the morning I was scheduled to leave. The previous day we'd shared a walk down to the monthly Saturday morning market by the bay. I benefited too from hearing of their travel experiences and valued the opportunity to ask about their business venture...where they help creative people define and empower themselves to 'Make Tomorrow (Website hidden by Airbnb) much so that I've chosen to use their services!

So in essence...I'm very grateful, enthusiastic and inspired by the time spent with Vinh and Stuart and would highly recommend their 'AirBnB' experience. 

  ",FALSE,9,9,9,9,9,9,9
11,12,37,8,"Like many others this was my first AirBnB experience. I picked their home because it looked so beautiful and well kept.  Their home definitely exceeded my expectations. It was a real bonus when I realized just how close they were to the Darling Harbour.  Although it was only for a day, I felt really welcomed and taken care of. They even had a very yummy custard bun for me upon my arrival. I didn't realize it would be so cold in Sydney this time of year and had only brought a thin hoody.  It was so sweet and caring of Vinh to lend me his jacket for the day.  When I returned after all the sight-seeing, we ended up hanging out and talked the night away. Even though we went to bed quite late, they were kind enough to wake up in the wee hours of the morning just to drive me to the airport! Vinh & Stuart made my stay in Sydney so memorable. I can't even begin to express how much their kindness has touched my heart. I did not feel like just someone renting a room, but rather a visiting friend.",FALSE,8,8,8,8,8,8,8
12,13,38,10,"Vinh and Stuart were very warm and hospitable, they did all they could to make our stay a comfortable one.  We went to the market with their friends and enjoyed a delicious breakfast and lots of interesting conversation.  We had a great time and would recommend them to everyone.",FALSE,10,10,10,10,10,10,10
13,14,39,9,"I had a wonderful experience staying with Vinh and Stuart. They were thoughtful, friendly and warm hosts, very considerate and lovely to chat with. Their home is well located on a street with a great bakery, pubs, small shops, etc., and the guestroom was very peaceful with a skylight and a comfy bed. Breakfasts were fantastic.

Vihn is a great expert on Sydney and was very helpful for advice and suggestions on transport and things to do and see around town. 

Vihn and Stuart are lovely people and really made my stay enjoyable. I would certainly recommend staying with them! ",FALSE,9,9,9,9,9,9,9
14,15,40,9,"This was really a great experience.  The house is comfortable, elegant, and I really felt welcomed.  It's very well located and walking distance to Sydney downtown, many attractions, restaurants and pubs.  They were also very helpful with suggestions for places and directions.  Highly recommended!",FALSE,9,9,9,9,9,9,9
15,16,41,8,"Oh my, where do I even start? 

Staying at Vinh and Stu's was definitely the highlight of our Sydney trip.
They were the most welcoming and hospitable hosts anyone could ever dream for. Before we went to Sydney, they sent us a very detailed information pack, that even included the best taxi route from the airport to their home! In short, they are the BEST!

The food and beverage they provided was definitely top quality, and their kitchen was simply amazing and oh so fully equipped. After a healthy and yummy breakfast, we are off to a day of sight-seeing (usually planned with the help of Vinh and Stu), and every night when we come back home we look forward to the interesting conversations with them =)

And I can't praise the apartment enough. The location was simply superb, bus stops literally at the door step, heaps and heaps of cafes and restaurants, and walking distance to the Fish Market!! As you all can see from the photos, they have an absolutely breath-taking apartment. And let me tell you a little secret - the apartment is exactly as gorgeous as the photos are!

If that wasn't enough, I must confess that we seriously considered smuggling Kenji back to Melbourne with us... Hmmm... He is without a doubt the sweetest pup in the entire world. Extremely well behaved, he never barked once, and he just loves to cuddle and cuddle.

Dear Vinh, Stu and Kenji, thank you guys SO much for making our Sydney trip, and firt AirBnB experience simply amazing! Hope to see you guys in Melbourne soon! =)",FALSE,8,8,8,8,8,8,8
16,17,42,9,"Ditto everything that has been said here about Vinh and Stuart (and of course Kenji, the best behaved Pom I have every met).  They are the consummate hosts and they have a stellar location for exploring Sydney.  We shared two fun evening dinners together.  The experience was exactly what I was hoping for when I signed up for AirBnB-- truly traveling like a human with all of the personal contact and comfort that implies.  I can only hope that the next time my travels take to me Sydney, Vinh and Stuart are still listing their room!  Thank you guys, it was a wonderful experience. ",FALSE,9,9,9,9,9,9,9
17,18,43,9,"My husband and I stayed with Vinh and Stuart during our honeymoon in October 2010. Vinh and Stuart were wonderful hosts to us in their beautiful home, and left us feeling as though we were visiting friends visiting, not strangers in a far away land.

I can't recommend them highly enough.

My husband and I would love the opportunity to visit Sydney again someday, and look forward to seeing Vinh and Stuart when we do.",FALSE,9,9,9,9,9,9,9
18,19,44,9,What an absolute delight to meet Stuart and Vinh.  On arrival we received a very welcome pot of tea and sat chatting for about an hour before retiring.  Vinh was very helpful listening and advising us on our near future venture to build a b&b in Tasmania.  We are looking forward to keeping in touch and learning more through Vinh's business courses.,FALSE,9,9,9,9,9,9,9
19,20,45,10,"We did not meet Heidi but she was very friendly on the phone and always available for any questions that we had. We adored our stay in her beautiful house. It was exactly how she stated, clean, tidy and perfect for what we needed. The neighbourhood was very quiet and the neighbours were friendly. The location was perfect for us. Close to the bus, shopping centers, cafes, supermarkets and ferry station. Thanks for a wonderful stay in your gorgeous house Heidi.   ",FALSE,10,10,10,10,10,10,10
20,21,46,9,Good location and access to public transport. Host Heidi was helpful and communicative. Nice walks around the area. OK value. Need to like cats.,FALSE,9,9,9,9,9,9,9
21,22,47,9,"Morag is a helpful easy going host.
Her place is comfortable and convenient. The bedroom has a sliding door and balcony to let in a nice breeze. 
 Bedroom has a kettle and about 6 types of tea 2 types of coffee and drinking coco.
It is a handy 10 minute walk thru Hyde Park to the central business district. 
 Internet connection was good. Small dog is no bother.
 Airport shuttle van can pick up just across the street, buy a $12 ticket from the convenience store on the corner.",FALSE,9,9,9,9,9,9,9
22,23,48,8,"Morag is a lovely hostess. We arrived in the late morning and she met us with freshly made muffins. The rooms are exactly like the photos and the views incredible. There were plenty of breakfast options and the super quick morning espressos were just what we needed. Charlie is a sweet little dog, that only barks when you startle him. The only negative thing would be the bed is a little hard. But everything outshines that and I would definitely recommend staying here while visiting Sydney.",FALSE,8,8,8,8,8,8,8
23,24,49,10,"This was so perfect I ended up staying here twice! Morag (and Charlie the pooch) were wonderful hosts. The location can't be beat. Everything is well within walking distance (CBD, gym, grocery stores, transit, restaurants). The room is very spacious with excellent storage for clothes, your own bathroom and your own balcony with table and lounger. I enjoyed having my breakfast (provided which is fab!) out there some mornings. You also have use of the dining area, living room and upstairs large terrace which is beautiful. Would not hesitate to stay again.",FALSE,10,10,10,10,10,10,10
24,25,50,3,"As the ad suggests, a little oasis and very central.",FALSE,3,3,3,3,3,3,3
25,26,51,9,Me and my friend had a good time at Morags place. Morag was very helpful. The location between the city center and Kings Cross is perfect if you want to explore the city and go out. ,FALSE,9,9,9,9,9,9,9
26,27,52,10,Excellent location and the place was very comfortable. Morag was a gracious host!,FALSE,10,10,10,10,10,10,10
27,28,53,10,Morag has an excellent apartment with three terraces and great views of Sydney with a great location.  She was helpful and very generous with her living space and invited us to join a party she was hosting for Easter.  We had a great weekend in Sydney!,FALSE,10,10,10,10,10,10,10
28,29,54,8,"We really enjoyed the stay at ""The Terrace"". Our expectations had been exceeded. We only can recommend the place. Unfortunately we had just little time so we could't really interact with Morag. But she seems to be a very nice person.",FALSE,8,8,8,8,8,8,8
29,30,55,9,Still travelling so a little late in our review.  We wanted to thank Fiona & Graham for making us so welcome and comfortable in their lovely Sydney home.  Balmain is a really interesting place to stay with easy access into the city via the ferry and was ideal for the New Year fireworks viewed from a nearby park. It was a great experience for the five of us to stay in such a lovely Sydney home.  Thank you. ,FALSE,9,9,9,9,9,9,9
30,31,56,9,Well located good sized house - hosts are a nice family and house is very close to great local parks and restaurants and shopping ,FALSE,9,9,9,9,9,9,9
31,32,57,10,"Fiona and Graham's place is lovely; light and airy and four excellent bedrooms and very nice outdoor spaces. It is very well equipped with everything you could need. And Fiona and Graham are very kind and welcoming, and were very keen to make sure everyone was well accommodated and happy. Thoroughly recommended and hope to stay there again. ",FALSE,10,10,10,10,10,10,10
32,33,58,10,"My family and I had a brilliant experience with Fiona and Graham. They couldn't have been more welcoming. We had everything we needed for a very comfortable stay. The house was lovely and fresh and tidy. There was plenty of space to spread out. The area was great with lots of delicious restaurants to dine at and only a close walk to the bay and outlet shops. We would highly recommend Fiona and Graham's hospitality and beautiful home for a relaxing, hassel free stay. ",FALSE,10,10,10,10,10,10,10
33,34,59,9,"Just the most wonderful space close to all services in Rozelle, and gentle amble down to Balmain.  We will definitely be back !!!  Fiona and Graham provided everything we needed, plus more, and were just the perfect blend of hands-off hosts leaving us to it, and ""we're just a phone call away if you need anything"".  Super flexible in configuring the sleeping spaces to our needs, and accommodating our other needs.  Well-stocked kitchen, comfy beds, air-con, and gorgeous outdoor spaces all added to our group feeling at home from the moment they walked in the door.  GREAT find on AirBnB !!!  Loved it !!!",FALSE,9,9,9,9,9,9,9
34,35,60,9,"it's an awesome house and fiona is a very friendly lady!we are nine adults,many things in the house are very helpful to us.living in the house make us feel comfortable and (Website hidden by Airbnb) family and friends all appreciate fiona's thoughtful treatment,we will treasure this unforgettable experience!the house has all the things you need.if you want something what you need is just find them out.this house has a beautiful backyard and a garden.there are two kitchens and two washing machine,which is very convinent.the location of the house is (Website hidden by Airbnb) easy to find parking place for 2 cars.the neighbours all seems very friendly and good educated.near the house there are many lovely little shops and restaurants,walk about 15mins you can find a woolworth supermarket.drive about 10mins we can get to the CBD of sydney.and the house has a great rental price.this fantasic house is beyond our imagination,so strongly (Website hidden by Airbnb) english is not good but fiona is easy to communicate.",FALSE,9,9,9,9,9,9,9
35,36,61,9,"Fiona and Graham were very friendly and accommodating to all our needs. The house was big enough for a big family with kids.
The house was in a great location with a short walk to Darling street Balmain and Rozelle shops and pubs.
There was always parking available on the street.
Overall great stay and suited our needs perfectly for 8 people.",FALSE,9,9,9,9,9,9,9
36,37,62,9,"Thank you very much to Fiona and Graham for wonderful hospitality. There house fulfilled all our needs for a family of 7 adults and 2 children. The house located near Sydney CBD area but it is in a quiet suburb. Access to  public transport is easy and there are many options available. 

The house has all the facilities to make our time there very  comfortable. Fiona and Graham have catered to all our needs. The house is very open & large and the children enjoyed their own space in the studio area. 
On behalf of my family , I would like to thank Fiona and Graham in making our holiday in Sydney unforgettable .",FALSE,9,9,9,9,9,9,9
37,38,63,9,"Quite simply the best AirBNB we have stayed in! Beautiful house in a fantastic location. It's very spacious, well laid out and organised with everything you could hope for. Fiona made everything so easy for us; from picking up the keys to having milk in the fridge for a cuppa! Could not recommend this place highly enough. It also has options for bigger or smaller groups and a lovely courtyard. Thank you for a brilliant stay!",FALSE,9,9,9,9,9,9,9
