id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27606,Lovely room 1 CENTRAL Byron Bay,119329,Temple Retreats,,BYRON SHIRE COUNCIL,-28.64925,153.61489,Private room,105,2,312,2019-05-13,2.87,46,74
29820,Lovely room 2 in CENTRAL Byron Bay,119329,Temple Retreats,,BYRON SHIRE COUNCIL,-28.64642,153.62068,Private room,105,2,283,2019-05-12,2.65,46,84
46609,Byron Beach Cabin,208641,Glen,,BYRON SHIRE COUNCIL,-28.69065,153.61045,Entire home/apt,134,3,15,2019-04-27,0.40,1,321
59459,"Tea on the Terrace,",285576,Liz,,CLARENCE VALLEY COUNCIL,-29.45858,153.20414,Private room,55,1,182,2019-04-25,1.83,1,339
62754,ByronStudio Right in Byron,305808,John,,BYRON SHIRE COUNCIL,-28.64527,153.60818,Private room,183,4,100,2018-09-30,0.98,1,203
106469,Byron Yoga Homestay! Shanti Room,547246,Elana,,BYRON SHIRE COUNCIL,-28.63142,153.58574,Private room,51,3,58,2019-04-12,0.59,4,0
111036,5 Star Luxury @ Tweed Coast - Apartment in Peppers,569563,Tricia,,TWEED SHIRE COUNCIL,-28.27536,153.57526,Entire home/apt,150,2,94,2019-05-22,1.06,1,273
113407,Byron Bay Hinterland House & Pool POCKET PINES,576938,Jo,,BYRON SHIRE COUNCIL,-28.51435,153.49339,Entire home/apt,270,2,11,2019-02-03,0.12,1,167
121842,Wategos Beach Byron Bay  great Views!,611611,Louise,,BYRON SHIRE COUNCIL,-28.63656,153.6322,Entire home/apt,299,3,140,2019-05-10,1.61,2,217
141548,Studio/Apartment Beachside Suffolk ,688307,Paul And Paula,,BYRON SHIRE COUNCIL,-28.68969,153.6101,Entire home/apt,139,5,2,2016-03-31,0.04,1,0
159786,Breathtaking View - the Den of the Treehouse.,165415,Robin & Jacqueline,,BYRON SHIRE COUNCIL,-28.48542,153.44194,Entire home/apt,185,2,183,2019-05-12,2.19,3,150
160344,THE TREEPOD,165415,Robin & Jacqueline,,BYRON SHIRE COUNCIL,-28.48564,153.44411,Entire home/apt,179,2,97,2019-05-28,1.09,3,166
165610,The Kyoto Mountain Lodge,165415,Robin & Jacqueline,,BYRON SHIRE COUNCIL,-28.48605,153.44533,Entire home/apt,181,2,132,2019-05-19,1.41,3,153
167078,Byron Yoga Homestay! Lotus Room,547246,Elana,,BYRON SHIRE COUNCIL,-28.63046,153.5842,Private room,56,3,75,2019-04-27,0.82,4,0
168519,4 Star King double or 2 single room,791858,Philip,,BYRON SHIRE COUNCIL,-28.67992,153.60897,Private room,150,3,11,2019-01-28,0.12,3,181
171380,Peaceful Cabin Retreat,266612,Claudia,,BYRON SHIRE COUNCIL,-28.56604,153.45668,Entire home/apt,59,3,41,2019-04-24,0.45,1,80
225338,Murwillumbah NSW,1173813,Emmie,,TWEED SHIRE COUNCIL,-28.32918,153.3892,Private room,65,1,4,2018-12-31,0.24,2,364
259951,Rosebank Farmhouse,1340489,Ann-Marie,,LISMORE CITY COUNCIL,-28.68612,153.38951,Entire home/apt,550,5,32,2019-05-27,0.49,1,0
281786,Inspiring house close to Byron Bay,1468730,Sue And Kyle,,BYRON SHIRE COUNCIL,-28.57928,153.5077,Entire home/apt,370,4,2,2017-01-10,0.07,1,27
294005,Byron Yoga Homestay! Ganesh Rm,547246,Elana,,BYRON SHIRE COUNCIL,-28.63114,153.58455,Private room,51,3,46,2019-04-13,0.53,4,1
302824,Comfy Double Room with own Bathroom,1559161,Louise,,BYRON SHIRE COUNCIL,-28.52453,153.54577,Private room,55,2,84,2019-04-28,0.97,2,351
302847,Fab Ocean View Room with Ensuite!,1559161,Louise,,BYRON SHIRE COUNCIL,-28.52588,153.54426,Private room,65,2,69,2019-05-04,0.77,2,356
329165,LIGHT  & BREEZY  2  SUFFOLK PARK,1680858,Mary,,BYRON SHIRE COUNCIL,-28.68909,153.60487,Private room,90,3,13,2019-01-04,0.19,4,333
336521,Breathtakingly Beautiful  ~ Tweed,1407042,Stephanie,,TWEED SHIRE COUNCIL,-28.19171,153.49411,Private room,95,2,10,2018-12-24,0.20,1,364
339455,Idyllic couple's retreat near town,1723445,Denzil & Laura,,BYRON SHIRE COUNCIL,-28.66032,153.60711,Entire home/apt,79,90,106,2016-02-27,1.21,1,0
